id,agency,brand,relationship_status,quality_score,evidence_count,brand_url,source_urls,methods
677,IMG Licensing,Big League Chew,first_party_portfolio_presence,0.95,11,https://imglicensing.com/brands/big-league-chew/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
637,IMG Licensing,Booba,first_party_portfolio_presence,0.95,9,https://imglicensing.com/brands/booba/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
1373,IMG Licensing,Breaking Bad,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/breaking-bad/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1347,IMG Licensing,Brigitte Bardot,first_party_portfolio_presence,0.95,14,https://imglicensing.com/brands/brigitte-bardot/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
638,IMG Licensing,Brigitte Bardot Estate,agent_supplied_client_listing,0.84,1,,"[""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""licenseglobal_client_list""]"
608,IMG Licensing,British & Irish Lions,first_party_portfolio_presence,0.95,11,https://imglicensing.com/brands/british-and-irish-lions/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
1319,IMG Licensing,British Army,first_party_portfolio_presence,0.95,6,https://imglicensing.com/brands/british-army/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1434,IMG Licensing,Budweiser,first_party_article_reference,0.74,4,,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json""]"
265,IMG Licensing,Bugatti,first_party_article_reference,0.74,7,,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json""]"
609,IMG Licensing,Bundesliga,agent_supplied_client_listing,0.84,7,,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list""]"
1427,IMG Licensing,CLC,first_party_article_reference,0.74,2,,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json""]"
1301,IMG Licensing,CLC- American College Brands,first_party_portfolio_presence,0.95,6,https://imglicensing.com/brands/clc/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1289,IMG Licensing,Cap'n Crunch,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/capn-crunch/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
251,IMG Licensing,Care Bears,first_party_portfolio_presence,0.95,11,https://imglicensing.com/brands/care-bears/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
1290,IMG Licensing,Cheetos,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/cheetos/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
678,IMG Licensing,Chevron,first_party_portfolio_presence,0.95,5,https://imglicensing.com/brands/chevron/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
679,IMG Licensing,Chrysler,first_party_portfolio_presence,0.95,5,https://imglicensing.com/brands/chrysler/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
680,IMG Licensing,Citroën,first_party_portfolio_presence,0.95,5,https://imglicensing.com/brands/citroen/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
623,IMG Licensing,Claire's,first_party_portfolio_presence,0.95,7,https://imglicensing.com/brands/claires/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
1352,IMG Licensing,Cosmopolitan,first_party_portfolio_presence,0.95,16,https://imglicensing.com/brands/cosmopolitan/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1302,IMG Licensing,DS Automobiles,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/ds-automobiles/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1353,IMG Licensing,Dee & Ricky,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/dee-and-ricky/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1291,IMG Licensing,Delish,first_party_portfolio_presence,0.95,6,https://imglicensing.com/brands/delish/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1374,IMG Licensing,Dirty Dancing,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/dirty-dancing/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
681,IMG Licensing,Dodge,first_party_portfolio_presence,0.95,9,https://imglicensing.com/brands/dodge/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
640,IMG Licensing,Dolly Parton,first_party_portfolio_presence,0.95,61,https://imglicensing.com/brands/dolly-parton/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
1292,IMG Licensing,Doritos,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/doritos/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
682,IMG Licensing,Ducati,first_party_portfolio_presence,0.95,15,https://imglicensing.com/brands/ducati/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
1375,IMG Licensing,E.T. The Extra-Terrestrial,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/e-t-the-extra-terrestrial/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
